register,rw,mixer,card,content,comments
0x00,W,"","","Reset","To reset the registers to initial conditions, write any value to mixer address 0: Write 0 to 2x4h (set mixer address to 0) Write 0 to 2x5h (write 0 to address 0 to reset mixer)"
0x04,R/W,"","","Voice volume","(ES1879) Backwards compatible 3-bit register. Bits 3 and 0 are stuck on (1) on read and zeroed on write to internal state. See ESS1868 notes and register 14h."
0x0A,R/W,"","","Mic volume","(ES1879) Backwards compatible 2-bit register (L and R). Bit 0 is stuck on (1) on read and zeroed on write to internal state. See ESS1868 notes and register 1Ah."
0x0C,R/W,"","","Input Source","(ES1879) Backwards compatible input source register. Bit 0 is zeroed on write to internal state. See ESS1868 notes and register 1Ch."
0x22,R/W,"","","Master volume","(ES1879) Backwards compatible register. Bits 3 and 0 are stuck on (1) on read and zeroed on write to internal state. See ESS1868 notes and register 32h."
0x26,R/W,"","","MIDI volume","(ES1879) Backwards compatible register. Bits 3 and 0 are stuck on (1) on read and zeroed on write to internal state. See ESS1868 notes and register 36h."
0x28,R/W,"","","CD volume","(ES1879) Backwards compatible register. Bits 3 and 0 are stuck on (1) on read and zeroed on write to internal state. See ESS1868 notes and register 38h."
0x2E,R/W,"","","Line volume","(ES1879) Backwards compatible register. Bits 3 and 0 are stuck on (1) on read and zeroed on write to internal state. See ESS1868 notes and register 3Eh."

0x14,R/W,"","ESS AudioDrive","Voice volume","(ES1879) Full access version of register 0x04\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x1A,R/W,"","ESS AudioDrive","Mic volume","(ES1879) Full access version of register 0x0A\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x1C,R/W,"","ESS AudioDrive","Input Source","(ES1879) Full access version of register 0x0C\nBits 2-0: Input source 0,1,4,5 aka binary x0x = Microphone (default) 2 = CD (Aux) Input 6 = Line input 7 = Mixer\n\nRegister 0x0A on write translates D2:D1 from 0,1,2,3 to 0x00,0x55,0xAA,0xFF\nRegister 0x0A on read returns bits 3:2 of this register (top 2 bits of mic right volume) in bits 2:1 of result with bit 0 == 0"
0x32,R/W,"","ESS AudioDrive","Master volume","(ES1879) Full access version of register 0x22\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x36,R/W,"","ESS AudioDrive","Music DAC volume","(ES1879) Full access version of register 0x26\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x38,R/W,"","ESS AudioDrive","CD (AuxA) volume","(ES1879) Full access version of register 0x28\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x3A,R/W,"","ESS AudioDrive","AuxB volume","(ES1879) Full access version of register 0x28\nBits 7-4: Left level bits\nBits 3-0: Right level bits"
0x3C,R/W,"","ESS AudioDrive","PC speaker volume","(ES1879) Full access version of register 0x28\nBits 2-0: Level bits"
0x3E,R/W,"","ESS AudioDrive","Line volume","(ES1879) Full access version of register 0x2E\nBits 7-4: Left level bits\nBits 3-0: Right level bits"

0x40,R,"","ESS AudioDrive","ES1879 identification value",""
0x42,R/W,"","ESS AudioDrive","Serial Mode Input Control","(ES1879)\nBit 7: Input override\n1 = Input source and input volume replace normal values as programmed by the application when the ES1879 is in serial mode. 0 = Input source and input volume are unchanged during serial mode.\nBits 6-4: Record source\nRecord source selects the record source during serial mode if bit 7 is high. The values below override the normal mixer settings (register 0Ch or 1Ch): 0=Microphone (default) 1=CD (AuxA) input 2=Microphone 4=Left channel: mic (not mixed with ES978 mic). Right channel: master volume inputs (left + right). 5=Left channel: AOUTL Right channel: AOUTR. 6=Record mixer 7=Record source disconnected from filters (muted). Record source is unchanged in serial mode\nBits 3-0: Record volume\nIf bit 7 is high during serial mode, this value overrides the record volume settings set via controller register B4h. For microphone source, the record gain is from 0 to +22 dB in steps of 1.5 dB. For other sources, the record gain is from -6 to +16.5 dB in steps of 1.5 dB."
0x44,R/W,"","ESS AudioDrive","Serial Mode Output Control","(ES1879)\nBit 7: Output override\n1 = Output Volume during Serial Mode is taken from this register rather than from the normal Mixer Master Volume register. Note that the Output Signal control is always in force during Serial Mode regardless of the state of this bit.\nBits 6-4 Output signal: These bits control the signal routed to the speaker outputs AOUT_L and AOUT_R.\n0 = Mute 1 = No change from normal operation 2 = Audio 1 only – playback mixer bypassed (overrides record monitor and record mute features) 3 = No change from normal operation 4 = Playback mixer with audio 1 DAC set to 0 dB attenuation (overrides record monitor and record mute features) 5 = Playback mixer output with audio 1 DAC playback muted (overrides record monitor and record mute features) 6 = Reserved 7 = Reserved\nBits 3-0 Output volume: Output volume. Replaces normal mixer Master Volume setting if bit 7 is high during Serial Mode."
0x46,R/W,"","ESS AudioDrive","Serial Mode Miscellaneous Analog Control","(ES1879)\nBit 7 Analog control override\n1 = bits 6:0 of this register take effect during Serial Mode. 0 = bits 6:0 do not ever take effect.\nBit 6 Music mixer test: 1 = Music DAC mixer inputs replaced with AUXBL/AUXBR inputs. 0 = Music DAC mixer inputs normal\nBit 5 Left ADC: 1 = Left channel combined ADC and DAC is in ADC mode. 0 = Left channel combined ADC and DAC is in DAC mode.\nBit 4: Right ADC: 1 = Right channel combined ADC and DAC is in ADC mode. 0 = Right channel combined ADC and DAC is in DAC mode.\nBit 3 Mono enable: This bit should be set appropriately for the application as follows: 1 = Mono record, mono playback, or mono full duplex. 0 = Stereo record or stereo playback.\nBit 2: Reserved(0)\nBit 1: FDXO enable 1 = Enables FDXO output connection to output pin FOUT_R (right channel filter output) 0 = FDXO has 50K pull-up to CMR.\nBit 0: FXDI: 1 = Enables FDXI input connection to left channel filter input and thus to the input of the left channel ADC. 0 = FDXI input has 50K pull-up to CMR. The left channel filter input and ADC comes from input volume stage as usual."
0x48,R/W,"","ESS AudioDrive","Serial Mode Miscellaneous Control","(ES1879)\nBit 7 Serial enable: 1 = Enable DSP serial port. This signal is synchronized with DCLK input rising edge. If DCLK is not running, enabling Serial enable has no effect. 0 = Disable DSP serial port\nBit 6 Data format: 1 = Data format is 2's complement (signed). 0 = Data format is unsigned (offset binary).\nBit 5 Serial reset: 1 = Reset Serial register left/right toggle flags. 0 = Release reset\nBit 4: ES689/ES69x interface enable: 1 = Enable ES689/ES69x serial interface to use the music DAC. MCLK must also go high at least once every 20 μsecs or the DAC will revert to FM. The mixer volume for the music DAC is controller by mixer register 36h. 0 = Disable ES689/ES69x serial interface.\nBit 3 Active low sync: 1 = Active-low frame sync pulse. 0 = Active-high frame sync pulse.\nBit 2 DSP test mode: 1 = Test mode: FS and DCLK become outputs. DCLK is 1.5876 MHz. FS is an active-high frame sync at a rate determined by mixer register 4Ah. 0 = Disable DSP test mode.\nBit 1: Reserved(0)\nBit 0 Telegaming mode enable: 1 = Enables telegaming mode. In serial mode, connect first channel DMA (otherwise known as game-compatible DMA) to the system DAC. This allows game-compatible audio to be heard when in serial mode. The system DAC gets its filter clock and volume control from the first channel. 0 = In serial mode, the first channel DMA is not played. The second channel is connected to the system DAC."
0x4C,R/W,"","ESS AudioDrive","Serial Mode Filter Divider","(ES1879)\nBit 7 Filter override: 1 = During Serial Mode, the filter clock is generated by dividing down the serial clock. 0 = During Serial Mode, the filter clock is generated as usual.\nBits 6-4: Reserved(0)\nBits 3-0 2’s complement filter divider: Bits 3:0 are a 2's complement value that divides down the serial clock. The ratio of the filter -3 dB frequency to the filter clock is approximately 1:41.\nExamples:\n02h (-14) External Serial Clock 2.048 MHz / 14 / 41 = 3568 Hz for 8000 Hz Sample Rate.\n0Eh (-2) Internal Serial Clock 1.591 MHz / 2 / 41 = 19.4kHz for 44,100 Sample Rate. Note that the sample rate divider is an integer multiple of the filter divide for 44,100, which gives maximum performance of DACs and ADCs."
0x4E,R/W,"","ESS AudioDrive","Serial Mode Format/Source/Target","(ES1879)\nBits 7-6 Transmit register source: 0=None: Transmit Register held at “Zero” code 1=FIFO 2=Left ADC or stereo ADC transmission 3=Right ADC\nBit 5 Transmit length: 1 = Transmit length is 16 bits, unsigned 0 = Transmit length is 8 bits, unsigned\nBit 4 Transmit mode: 1 = Transmit mode is stereo. Left and right channels alternate, with left channel data preceding right channel data. 0 = Transmit mode is mono.\nBits 3-2 Receive Register Target: 0=None: Receive Register held at “Zero” code 1=FIFO 2=DAC (if mono, right channel receives data, left channel receives complement of data) 3=FM DAC (if mono, right channel receives data, left channel receives complement of data)\nBit 1 Receive length: 1 = Receive length is 16 bits, unsigned 0 = Receive length is 8 bits, unsigned\nBit 0 Receive mode: 1 = Receive mode is stereo. Left and right channels alternate, with left channel data preceding right channel data. 0 = Receive mode is mono."

