charcode,name,character,comments
0x70,"LATIN SMALL LETTER P","p",
0x71,"LATIN SMALL LETTER Q","q",
0x72,"LATIN SMALL LETTER R","r",
0x73,"LATIN SMALL LETTER S","s",
0x74,"LATIN SMALL LETTER T","t",
0x75,"LATIN SMALL LETTER U","u",
0x76,"LATIN SMALL LETTER V","v",
0x77,"LATIN SMALL LETTER W","w",
0x78,"LATIN SMALL LETTER X","x",
0x79,"LATIN SMALL LETTER Y","y",
0x7a,"LATIN SMALL LETTER Z","z",
0x7b,"LEFT CURLY BRACKET","{",
0x7c,"VERTICAL LINE","|",
0x7d,"RIGHT CURLY BRACKET","}",
0x7e,"TILDE","~",
0x7f,"DELETE","",
0x80,"EURO SIGN","€",
0x81,"--","",
0x82,"SINGLE LOW-9 QUOTATION MARK","‚",
0x83,"LATIN SMALL LETTER F WITH HOOK","ƒ",
0x84,"DOUBLE LOW-9 QUOTATION MARK","„",
0x85,"HORIZONTAL ELLIPSIS","…",
0x86,"DAGGER","†",
0x87,"DOUBLE DAGGER","‡",
0x88,"MODIFIER LETTER CIRCUMFLEX ACCENT","ˆ",
0x89,"PER MILLE SIGN","‰",
0x8a,"LATIN CAPITAL LETTER S WITH CARON","Š",
0x8b,"SINGLE LEFT-POINTING ANGLE QUOTATION MARK","‹",
0x8c,"LATIN CAPITAL LIGATURE OE","Œ",
0x8d,"--","",
0x8e,"LATIN CAPITAL LETTER Z WITH CARON","Ž",
0x8f,"--","",
0x90,"--","",
0x91,"LEFT SINGLE QUOTATION MARK","‘",
0x92,"RIGHT SINGLE QUOTATION MARK","’",
0x93,"LEFT DOUBLE QUOTATION MARK","“",
0x94,"RIGHT DOUBLE QUOTATION MARK","”",
0x95,"BULLET","•",
0x96,"EN DASH","–",
0x97,"EM DASH","—",
0x98,"SMALL TILDE","˜",
0x99,"TRADE MARK SIGN","™",
0x9a,"LATIN SMALL LETTER S WITH CARON","š",
0x9b,"SINGLE RIGHT-POINTING ANGLE QUOTATION MARK","›",
0x9c,"LATIN SMALL LIGATURE OE","œ",
0x9d,"--","",
0x9e,"LATIN SMALL LETTER Z WITH CARON","ž",
0x9f,"LATIN CAPITAL LETTER Y WITH DIAERESIS","Ÿ",
0xa0,"NO-BREAK SPACE"," ",
0xa1,"INVERTED EXCLAMATION MARK","¡",
0xa2,"CENT SIGN","¢",
0xa3,"POUND SIGN","£",
0xa4,"CURRENCY SIGN","¤",
0xa5,"YEN SIGN","¥",
0xa6,"BROKEN BAR","¦",
0xa7,"SECTION SIGN","§",
0xa8,"DIAERESIS","¨",
0xa9,"COPYRIGHT SIGN","©",
0xaa,"FEMININE ORDINAL INDICATOR","ª",
0xab,"LEFT-POINTING DOUBLE ANGLE QUOTATION MARK","«",
0xac,"NOT SIGN","¬",
0xad,"SOFT HYPHEN","­",
0xae,"REGISTERED SIGN","®",
0xaf,"MACRON","¯",
0xb0,"DEGREE SIGN","°",
0xb1,"PLUS-MINUS SIGN","±",
0xb2,"SUPERSCRIPT TWO","²",
0xb3,"SUPERSCRIPT THREE","³",
0xb4,"ACUTE ACCENT","´",
0xb5,"MICRO SIGN","µ",
0xb6,"PILCROW SIGN","¶",
0xb7,"MIDDLE DOT","·",
0xb8,"CEDILLA","¸",
0xb9,"SUPERSCRIPT ONE","¹",
0xba,"MASCULINE ORDINAL INDICATOR","º",
0xbb,"RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK","»",
0xbc,"VULGAR FRACTION ONE QUARTER","¼",
0xbd,"VULGAR FRACTION ONE HALF","½",
0xbe,"VULGAR FRACTION THREE QUARTERS","¾",
0xbf,"INVERTED QUESTION MARK","¿",
0xc0,"LATIN CAPITAL LETTER A WITH GRAVE","À",
0xc1,"LATIN CAPITAL LETTER A WITH ACUTE","Á",
0xc2,"LATIN CAPITAL LETTER A WITH CIRCUMFLEX","Â",
0xc3,"LATIN CAPITAL LETTER A WITH TILDE","Ã",
0xc4,"LATIN CAPITAL LETTER A WITH DIAERESIS","Ä",
0xc5,"LATIN CAPITAL LETTER A WITH RING ABOVE","Å",
0xc6,"LATIN CAPITAL LETTER AE","Æ",
0xc7,"LATIN CAPITAL LETTER C WITH CEDILLA","Ç",
0xc8,"LATIN CAPITAL LETTER E WITH GRAVE","È",
0xc9,"LATIN CAPITAL LETTER E WITH ACUTE","É",
0xca,"LATIN CAPITAL LETTER E WITH CIRCUMFLEX","Ê",
0xcb,"LATIN CAPITAL LETTER E WITH DIAERESIS","Ë",
0xcc,"LATIN CAPITAL LETTER I WITH GRAVE","Ì",
0xcd,"LATIN CAPITAL LETTER I WITH ACUTE","Í",
0xce,"LATIN CAPITAL LETTER I WITH CIRCUMFLEX","Î",
0xcf,"LATIN CAPITAL LETTER I WITH DIAERESIS","Ï",
0xd0,"LATIN CAPITAL LETTER ETH","Ð",
0xd1,"LATIN CAPITAL LETTER N WITH TILDE","Ñ",
0xd2,"LATIN CAPITAL LETTER O WITH GRAVE","Ò",
0xd3,"LATIN CAPITAL LETTER O WITH ACUTE","Ó",
0xd4,"LATIN CAPITAL LETTER O WITH CIRCUMFLEX","Ô",
0xd5,"LATIN CAPITAL LETTER O WITH TILDE","Õ",
0xd6,"LATIN CAPITAL LETTER O WITH DIAERESIS","Ö",
0xd7,"MULTIPLICATION SIGN","×",
0xd8,"LATIN CAPITAL LETTER O WITH STROKE","Ø",
0xd9,"LATIN CAPITAL LETTER U WITH GRAVE","Ù",
0xda,"LATIN CAPITAL LETTER U WITH ACUTE","Ú",
0xdb,"LATIN CAPITAL LETTER U WITH CIRCUMFLEX","Û",
0xdc,"LATIN CAPITAL LETTER U WITH DIAERESIS","Ü",
0xdd,"LATIN CAPITAL LETTER Y WITH ACUTE","Ý",
0xde,"LATIN CAPITAL LETTER THORN","Þ",
0xdf,"LATIN SMALL LETTER SHARP S","ß",
0xe0,"LATIN SMALL LETTER A WITH GRAVE","à",
0xe1,"LATIN SMALL LETTER A WITH ACUTE","á",
0xe2,"LATIN SMALL LETTER A WITH CIRCUMFLEX","â",
0xe3,"LATIN SMALL LETTER A WITH TILDE","ã",
0xe4,"LATIN SMALL LETTER A WITH DIAERESIS","ä",
0xe5,"LATIN SMALL LETTER A WITH RING ABOVE","å",
0xe6,"LATIN SMALL LETTER AE","æ",
0xe7,"LATIN SMALL LETTER C WITH CEDILLA","ç",
0xe8,"LATIN SMALL LETTER E WITH GRAVE","è",
0xe9,"LATIN SMALL LETTER E WITH ACUTE","é",
0xea,"LATIN SMALL LETTER E WITH CIRCUMFLEX","ê",
0xeb,"LATIN SMALL LETTER E WITH DIAERESIS","ë",
0xec,"LATIN SMALL LETTER I WITH GRAVE","ì",
0xed,"LATIN SMALL LETTER I WITH ACUTE","í",
0xee,"LATIN SMALL LETTER I WITH CIRCUMFLEX","î",
0xef,"LATIN SMALL LETTER I WITH DIAERESIS","ï",
0xf0,"LATIN SMALL LETTER ETH","ð",
0xf1,"LATIN SMALL LETTER N WITH TILDE","ñ",
0xf2,"LATIN SMALL LETTER O WITH GRAVE","ò",
0xf3,"LATIN SMALL LETTER O WITH ACUTE","ó",
0xf4,"LATIN SMALL LETTER O WITH CIRCUMFLEX","ô",
0xf5,"LATIN SMALL LETTER O WITH TILDE","õ",
0xf6,"LATIN SMALL LETTER O WITH DIAERESIS","ö",
0xf7,"DIVISION SIGN","÷",
0xf8,"LATIN SMALL LETTER O WITH STROKE","ø",
0xf9,"LATIN SMALL LETTER U WITH GRAVE","ù",
0xfa,"LATIN SMALL LETTER U WITH ACUTE","ú",
0xfb,"LATIN SMALL LETTER U WITH CIRCUMFLEX","û",
0xfc,"LATIN SMALL LETTER U WITH DIAERESIS","ü",
0xfd,"LATIN SMALL LETTER Y WITH ACUTE","ý",
0xfe,"LATIN SMALL LETTER THORN","þ",
0xff,"LATIN SMALL LETTER Y WITH DIAERESIS","ÿ",
