command,param,dspver,card,effect,comments,return
0x00-0x03,,2.0,Sound Blaster 2.0,No op,"Command group 0 (status) according to sbv202.asm which does nothing but return to command processing, if bit 2 and 3 are clear."
0x04-0x07,,2.0-3.xx,"Sound Blaster 2.0\nSound Blaster Pro",Return status register,"Undocumented command, returns status register (sbv202.asm), if bit 2 set, bit 3 clear.",status
0x08-0x0F,,2.0,Sound Blaster 2.0,cmd_halt,"Undocumented command at cmd_halt (sbv202.asm), if bit 3 is set. Puts the DSP into an infinite loop."
0x10-0x13,nn,2.0,Sound Blaster 2.0,cmd_dac_direct,"DSP command 10h, and aliases that exist due to processing at cmdg_dac_e (sbv202.asm) when neither bit 2 or 3 are set in the command"
0x14-0x15,lo hi,2.0,Sound Blaster 2.0,cmd_dac_dma,"DSP command 14h, and aliases that exist due to processing at cmdg_dac_e (sbv202.asm) when bit 2 set, bit 3 clear, in the command\nNote that there is code in vanilla DOSBox that acknowledges this alias that is used in one DOS game known as 'Wari'"
0x18-0x19 0x1C-0x1D,,2.0,Sound Blaster 2.0,cmd_dac_autoinit,"DSP command 1Ch, and aliases that exist due to processing at cmdg_dac_e (sbv202.asm) when bit 3 is set, then at X078e when bit 1 is clear"
0x1A 0x1E,,2.0,Sound Blaster 2.0,cmd_dac_dma_use_adpcm_2,"DSP command 1Fh, and aliases, at cmd_dac_dma_use_adpcm_2 (sbv202.asm) when bit 3 and 1 are set. This undocumented version does not read a reference byte"
0x1B 0x1F,,2.0,Sound Blaster 2.0,cmd_dac_dma_use_adpcm_2,"DSP command 1Fh, and aliases, at cmd_dac_dma_use_adpcm_2 (sbv202.asm) when bit 3 and 1 are set."
0x20-0x23,,2.0,Sound Blaster 2.0,cmd_adc_direct,"DSP command 20h, and aliases that exist due to processing at cmdg_adc_e (sbv202.asm) when neither bit 2 or 3 are set in the command",sample
0x24-0x27,lo hi,2.0,Sound Blaster 2.0,cmd_adc_dma,"DSP command 24h, and aliases that exist due to processing at cmdg_adc_e (sbv202.asm) when bit 2 set, bit 3 clear, in the command"
0x28-0x2F,,2.0,Sound Blaster 2.0,cmd_dac_autoinit_direct,"DSP command 2Ch, and aliases that exist due to processing at cmdg_adc_e (sbv202.asm) when bit 3 set"
0x30,,1.0+,,cmd_midi_read_write_poll,"sbv202.asm: DSP reset will cancel the MIDI command without clearing DSP state.\nInternal DSP firmware handles 0x30-0x33 and 0x34-0x37 using the same processing loop that changes behavior slightly based on bits in the command byte.",midibyte
0x31,,1.0+,,cmd_midi_read_write_poll,"sbv202.asm: DSP reset will cancel the MIDI command without clearing DSP state.\nInternal DSP firmware handles 0x30-0x33 and 0x34-0x37 using the same processing loop that changes behavior slightly based on bits in the command byte."
0x32,,1.0+,,cmd_midi_read_write_poll,"Undocumented, sbv202.asm: Alias of 30h, but also returns MIDI timestamp\nDSP reset will cancel the MIDI command without clearing DSP state.\nInternal DSP firmware handles 0x30-0x33 and 0x34-0x37 using the same processing loop that changes behavior slightly based on bits in the command byte.",tl tm th midibyte
0x33,,1.0+,,cmd_midi_read_write_poll,"Undocumented, sbv202.asm: Alias of 31h, but also returns MIDI timestamp\nsbv202.asm: DSP reset will cancel the MIDI command without clearing DSP state.\nInternal DSP firmware handles 0x30-0x33 and 0x34-0x37 using the same processing loop that changes behavior slightly based on bits in the command byte."
0x34,,2.0+,,cmd_midi_read_write_poll,"sbv202.asm: DSP reset will cancel the MIDI command without clearing DSP state.\nInternal DSP firmware handles 0x30-0x33 and 0x34-0x37 using the same processing loop that changes behavior slightly based on bits in the command byte."
0x35,,2.0+,,cmd_midi_read_write_poll,"sbv202.asm: DSP reset will cancel the MIDI command without clearing DSP state.\nInternal DSP firmware handles 0x30-0x33 and 0x34-0x37 using the same processing loop that changes behavior slightly based on bits in the command byte."
0x36,,2.0+,,cmd_midi_read_write_poll,"sbv202.asm: DSP reset will cancel the MIDI command without clearing DSP state.\nInternal DSP firmware handles 0x30-0x33 and 0x34-0x37 using the same processing loop that changes behavior slightly based on bits in the command byte."
0x37,,2.0+,,cmd_midi_read_write_poll,"sbv202.asm: DSP reset will cancel the MIDI command without clearing DSP state.\nInternal DSP firmware handles 0x30-0x33 and 0x34-0x37 using the same processing loop that changes behavior slightly based on bits in the command byte."
0x38-0x3F,nn,2.0,Sound Blaster 2.0,cmd_midi_write_poll,"DSP command 38h, and aliases due to processing at do_midi_cmd (sbv202.asm) when bit 3 set"
0x40-0x47,tc,2.0,Sound Blaster 2.0,cmdg_setup_e,"DSP command 40h, and aliases due to processing at cmdg_setup_e (sbv202.asm) when bit 3 clear"
