makecode,breakcode,key,comments
0x1C,0xF0 0x1C,A,
0x32,0xF0 0x32,B,
0x21,0xF0 0x21,C,
0x23,0xF0 0x23,D,
0x24,0xF0 0x24,E,
0x2B,0xF0 0x2B,F,
0x34,0xF0 0x34,G,
0x33,0xF0 0x33,H,
0x43,0xF0 0x43,I,
0x3B,0xF0 0x3B,J,
0x42,0xF0 0x42,K,
0x4B,0xF0 0x4B,L,
0x3A,0xF0 0x3A,M,
0x31,0xF0 0x31,N,
0x44,0xF0 0x44,O,
0x4D,0xF0 0x4D,P,
0x15,0xF0 0x15,Q,
0x2D,0xF0 0x2D,R,
0x1B,0xF0 0x1B,S,
0x2C,0xF0 0x2C,T,
0x3C,0xF0 0x3C,U,
0x2A,0xF0 0x2A,V,
0x1D,0xF0 0x1D,W,
0x22,0xF0 0x22,X,
0x35,0xF0 0x35,Y,
0x1A,0xF0 0x1A,Z,
0x45,0xF0 0x45,0,
0x16,0xF0 0x16,1,
0x1E,0xF0 0x1E,2,
0x26,0xF0 0x26,3,
0x25,0xF0 0x25,4,
0x2E,0xF0 0x2E,5,
0x36,0xF0 0x36,6,
0x3D,0xF0 0x3D,7,
0x3E,0xF0 0x3E,8,
0x46,0xF0 0x46,9,

